id,prefix,name,chi2,pval
33120,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nhere',5,251.1650,0.0000
16927,b'4.1-ngram.next_system_utterance__nyou discard request',4.1,246.7700,0.0000
16926,b'4.1-ngram.next_system_utterance__nyou discard',4.1,246.7700,0.0000
35566,b'5-phrase_feature__noun_phrases__next_system_utterance__time',5,246.1264,0.0000
45479,b'7-syntactic_feature__root_word__next_system_utterance__ntri',7,242.0051,0.0000
33074,b'5-phrase_feature__noun_phrases__next_system_utterance__n3',5,241.9232,0.0000
7334,b'4.1-ngram.next_system_utterance__discard request',4.1,241.7519,0.0000
19132,b'4.1-ngram.next_system_utterance__request',4.1,236.6989,0.0000
33,b'3-time_feature__turns_from_start',3,229.2487,0.0000
40980,b'6-entity_feature__entity__next_system_utterance__friday_DATE',6,224.7304,0.0000
0,b'1-utterance_length.current_user_utterance__utterance_length',1,223.7570,0.0000
7333,b'4.1-ngram.next_system_utterance__discard',4.1,222.9657,0.0000
31213,b'5-phrase_feature__noun_phrases__next_system_utterance__friday',5,219.2357,0.0000
40529,b'6-entity_feature__entity__next_system_utterance__3.30_NUMBER',6,217.1542,0.0000
46373,b'7-syntactic_feature__subj_word__next_system_utterance__-lsb-',7,217.1369,0.0000
34824,b'5-phrase_feature__noun_phrases__next_system_utterance__searching_reminders',5,214.5455,0.0000
34823,b'5-phrase_feature__noun_phrases__next_system_utterance__searching',5,214.5455,0.0000
33123,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nor',5,214.5455,0.0000
33125,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_ntry',5,214.5455,0.0000
33283,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry_searching_reminders',5,214.5455,0.0000
28953,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nor',5,214.5455,0.0000
33282,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry_searching',5,214.5455,0.0000
33242,b'5-phrase_feature__noun_phrases__next_system_utterance__nor_type',5,214.5455,0.0000
33241,b'5-phrase_feature__noun_phrases__next_system_utterance__nor',5,214.5455,0.0000
28954,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nor_type',5,214.5455,0.0000
43150,b'7-syntactic_feature__obj_word__next_system_utterance__anyth',7,214.5455,0.0000
28963,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_ntry_searching',5,214.5455,0.0000
32339,b'5-phrase_feature__noun_phrases__next_system_utterance__learning',5,214.5064,0.0000
16923,b'4.1-ngram.next_system_utterance__nyou',4.1,213.1769,0.0000
40582,b'6-entity_feature__entity__next_system_utterance__7_NUMBER',6,211.4428,0.0000
45701,b'7-syntactic_feature__root_word__next_system_utterance__set',7,210.9131,0.0000
44639,b'7-syntactic_feature__root_word__current_user_utterance__remind',7,209.8761,0.0000
33085,b'5-phrase_feature__noun_phrases__next_system_utterance__n4',5,207.3310,0.0000
45868,b'7-syntactic_feature__root_word__next_system_utterance__understand',7,201.7096,0.0000
29155,b'5-phrase_feature__noun_phrases__next_system_utterance__anything',5,200.0801,0.0000
40605,b'6-entity_feature__entity__next_system_utterance__\\_NUMBER',6,197.4073,0.0000
44740,b"7-syntactic_feature__root_word__next_system_utterance__'s",7,193.1827,0.0000
33097,b'5-phrase_feature__noun_phrases__next_system_utterance__n5',5,185.8872,0.0000
16645,b'4.1-ngram.next_system_utterance__nfor',4.1,184.8938,0.0000
16646,b'4.1-ngram.next_system_utterance__nfor example',4.1,184.8938,0.0000
45316,b'7-syntactic_feature__root_word__next_system_utterance__learn',7,179.8454,0.0000
32038,b'5-phrase_feature__noun_phrases__next_system_utterance__items',5,178.0366,0.0000
45080,b'7-syntactic_feature__root_word__next_system_utterance__discard',7,175.6339,0.0000
32474,b'5-phrase_feature__noun_phrases__next_system_utterance__list',5,169.7379,0.0000
29097,b'5-phrase_feature__noun_phrases__next_system_utterance__alright',5,169.3287,0.0000
46922,b'7-syntactic_feature__subj_word__next_system_utterance__you',7,168.8379,0.0000
44785,b'7-syntactic_feature__root_word__next_system_utterance__alright',7,168.0968,0.0000
18804,b'4.1-ngram.next_system_utterance__reminder nfor',4.1,165.8424,0.0000
18805,b'4.1-ngram.next_system_utterance__reminder nfor example',4.1,165.8424,0.0000
33357,b'5-phrase_feature__noun_phrases__next_system_utterance__ok',5,162.9005,0.0000
33103,b'5-phrase_feature__noun_phrases__next_system_utterance__n6',5,154.0066,0.0000
45180,b'7-syntactic_feature__root_word__next_system_utterance__get',7,151.5956,0.0000
28807,b'5-phrase_feature__noun_phrases__next_system_utterance__10pm',5,151.3943,0.0000
44760,b'7-syntactic_feature__root_word__next_system_utterance__\\',7,149.3719,0.0000
7806,b'4.1-ngram.next_system_utterance__example',4.1,148.1015,0.0000
16657,b'4.1-ngram.next_system_utterance__nfor example title',4.1,146.2958,0.0000
7832,b'4.1-ngram.next_system_utterance__example title',4.1,146.2958,0.0000
46219,b'7-syntactic_feature__root_word__next_user_utterance__today',7,141.4652,0.0000
27841,b'5-phrase_feature__noun_phrases__current_user_utterance__reminder',5,139.6321,0.0000
23360,b'4.1-ngram.next_user_utterance__discard',4.1,134.5622,0.0000
45697,b'7-syntactic_feature__root_word__next_system_utterance__send',7,133.5681,0.0000
46046,b'7-syntactic_feature__root_word__next_user_utterance__discard',7,130.3317,0.0000
33104,b'5-phrase_feature__noun_phrases__next_system_utterance__n7',5,129.8713,0.0000
43707,b'7-syntactic_feature__obj_word__next_system_utterance__task',7,121.8116,0.0000
45637,b'7-syntactic_feature__root_word__next_system_utterance__remov',7,121.4450,0.0000
33105,b'5-phrase_feature__noun_phrases__next_system_utterance__n8',5,120.1275,0.0000
7,b'2.1-user_action_words.current_user_utterance__item',2.1,117.9209,0.0000
39133,b'5-phrase_feature__noun_phrases__next_user_utterance__title',5,115.6314,0.0000
44990,b'7-syntactic_feature__root_word__next_system_utterance__clarifi',7,113.4673,0.0000
44471,b'7-syntactic_feature__root_word__current_user_utterance__clear',7,113.0240,0.0000
44934,b'7-syntactic_feature__root_word__next_system_utterance__can',7,111.5352,0.0000
35619,b'5-phrase_feature__noun_phrases__next_system_utterance__tomorrow',5,108.0575,0.0000
44426,b'7-syntactic_feature__root_word__current_user_utterance__add',7,106.3339,0.0000
34138,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder',5,105.2941,0.0000
11003,b'4.1-ngram.next_system_utterance__lunch leslie nyou',4.1,101.6853,0.0000
11002,b'4.1-ngram.next_system_utterance__lunch leslie',4.1,101.6853,0.0000
10343,b'4.1-ngram.next_system_utterance__leslie nyou',4.1,101.6853,0.0000
10342,b'4.1-ngram.next_system_utterance__leslie',4.1,101.6853,0.0000
21136,b'4.1-ngram.next_system_utterance__title lunch leslie',4.1,101.6853,0.0000
10344,b'4.1-ngram.next_system_utterance__leslie nyou discard',4.1,101.6853,0.0000
45639,b'7-syntactic_feature__root_word__next_system_utterance__rephras',7,101.5515,0.0000
45423,b'7-syntactic_feature__root_word__next_system_utterance__n',7,101.1766,0.0000
7834,b'4.1-ngram.next_system_utterance__example title lunch',4.1,100.5301,0.0000
33119,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nfor',5,100.3516,0.0000
33106,b'5-phrase_feature__noun_phrases__next_system_utterance__n9',5,99.1617,0.0000
25333,b'5-phrase_feature__noun_phrases__current_user_utterance__clear_list',5,98.9407,0.0000
47010,b'7-syntactic_feature__subj_word__next_user_utterance__titl',7,98.8646,0.0000
42817,b'7-syntactic_feature__obj_word__current_user_utterance__me',7,96.9086,0.0000
40607,b'6-entity_feature__entity__next_system_utterance__\\ntry, `_MISC',6,96.5926,0.0000
31,b'3-time_feature__start_of_session',3,94.2762,0.0000
33031,b"5-phrase_feature__noun_phrases__next_system_utterance__n'remove_item_<name>",5,88.4664,0.0000
33032,b"5-phrase_feature__noun_phrases__next_system_utterance__n'remove_item_<number>",5,88.4664,0.0000
32978,b"5-phrase_feature__noun_phrases__next_system_utterance__n'add_item_<name>",5,88.4664,0.0000
33030,b"5-phrase_feature__noun_phrases__next_system_utterance__n'remove_item",5,88.4664,0.0000
32033,b'5-phrase_feature__noun_phrases__next_system_utterance__item_<name>',5,88.4664,0.0000
32977,b"5-phrase_feature__noun_phrases__next_system_utterance__n'add_item",5,88.4664,0.0000
32034,b'5-phrase_feature__noun_phrases__next_system_utterance__item_<number>',5,88.4664,0.0000
28887,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'add_item",5,88.4664,0.0000
33038,b"5-phrase_feature__noun_phrases__next_system_utterance__n'show_list",5,88.4664,0.0000
35475,b'5-phrase_feature__noun_phrases__next_system_utterance__task',5,87.7669,0.0000
41532,b'6-entity_feature__entity__next_system_utterance__tomorrow_DATE',6,87.5435,0.0000
20277,b'4.1-ngram.next_system_utterance__sorry',4.1,85.8791,0.0000
45576,b'7-syntactic_feature__root_word__next_system_utterance__pleas',7,85.1059,0.0000
8940,b'4.1-ngram.next_system_utterance__halloween party',4.1,84.2551,0.0000
8939,b'4.1-ngram.next_system_utterance__halloween',4.1,84.2551,0.0000
43515,b'7-syntactic_feature__obj_word__next_system_utterance__n2',7,82.8846,0.0000
41213,b'6-entity_feature__entity__next_system_utterance__mar 19_DATE',6,82.6971,0.0000
777,b'4.1-ngram.current_user_utterance__clear',4.1,82.0707,0.0000
33053,b'5-phrase_feature__noun_phrases__next_system_utterance__n10',5,81.7769,0.0000
26305,b'5-phrase_feature__noun_phrases__current_user_utterance__item',5,81.6071,0.0000
7246,b'4.1-ngram.next_system_utterance__didn',4.1,80.2682,0.0000
40477,b'6-entity_feature__entity__next_system_utterance__10pm_TIME',6,80.2369,0.0000
2006,b'4.1-ngram.current_user_utterance__remind',4.1,80.0008,0.0000
22620,b'4.1-ngram.next_system_utterance__yes',4.1,79.9252,0.0000
40501,b'6-entity_feature__entity__next_system_utterance__2 pm_TIME',6,79.7603,0.0000
28816,b'5-phrase_feature__noun_phrases__next_system_utterance__2pm',5,79.7603,0.0000
40736,b'6-entity_feature__entity__next_system_utterance__at 2pm_TIME',6,79.7603,0.0000
24327,b'4.1-ngram.next_user_utterance__title',4.1,79.3643,0.0000
45693,b'7-syntactic_feature__root_word__next_system_utterance__see',7,77.6087,0.0000
39137,b'5-phrase_feature__noun_phrases__next_user_utterance__today',5,76.4376,0.0000
21133,b'4.1-ngram.next_system_utterance__title halloween',4.1,76.3495,0.0000
8942,b'4.1-ngram.next_system_utterance__halloween party nyou',4.1,76.3495,0.0000
17463,b'4.1-ngram.next_system_utterance__party nyou',4.1,76.3495,0.0000
21134,b'4.1-ngram.next_system_utterance__title halloween party',4.1,76.3495,0.0000
17464,b'4.1-ngram.next_system_utterance__party nyou discard',4.1,76.3495,0.0000
34930,b'5-phrase_feature__noun_phrases__next_system_utterance__shopping',5,76.1704,0.0000
40704,b'6-entity_feature__entity__next_system_utterance__at 10pm_SET',6,75.4720,0.0000
34931,b'5-phrase_feature__noun_phrases__next_system_utterance__shopping_list',5,75.2549,0.0000
41179,b'6-entity_feature__entity__next_system_utterance__laura_PERSON',6,74.9901,0.0000
11384,b'4.1-ngram.next_system_utterance__mean',4.1,74.4236,0.0000
32326,b'5-phrase_feature__noun_phrases__next_system_utterance__laura',5,74.2916,0.0000
42459,b'7-syntactic_feature__obj_word__current_user_utterance__all',7,74.2002,0.0000
7241,b'4.1-ngram.next_system_utterance__did',4.1,73.3346,0.0000
10260,b'4.1-ngram.next_system_utterance__learning',4.1,72.9151,0.0000
6319,b'4.1-ngram.next_system_utterance__clarify',4.1,72.9151,0.0000
10261,b'4.1-ngram.next_system_utterance__learning clarify',4.1,72.9151,0.0000
8297,b'4.1-ngram.next_system_utterance__friday',4.1,72.6222,0.0000
31497,b'5-phrase_feature__noun_phrases__next_system_utterance__group_members',5,71.7207,0.0000
40469,b'6-entity_feature__entity__next_system_utterance__10 pm_TIME',6,71.4116,0.0000
43764,b'7-syntactic_feature__obj_word__next_system_utterance__you',7,70.8665,0.0000
18427,b'4.1-ngram.next_system_utterance__really',4.1,70.6172,0.0000
32039,b'5-phrase_feature__noun_phrases__next_system_utterance__items_milk',5,70.4734,0.0000
17,b'2.1-user_action_words.current_user_utterance__remind',2.1,70.4358,0.0000
33054,b'5-phrase_feature__noun_phrases__next_system_utterance__n11',5,69.6182,0.0000
7833,b'4.1-ngram.next_system_utterance__example title halloween',4.1,69.4395,0.0000
45392,b'7-syntactic_feature__root_word__next_system_utterance__milk',7,69.2227,0.0000
3502,b'4.1-ngram.next_system_utterance__add',4.1,67.8749,0.0000
18428,b'4.1-ngram.next_system_utterance__really mean',4.1,67.8482,0.0000
18429,b'4.1-ngram.next_system_utterance__really mean clear',4.1,67.8482,0.0000
7245,b'4.1-ngram.next_system_utterance__did really mean',4.1,67.8482,0.0000
6371,b'4.1-ngram.next_system_utterance__clear list yes',4.1,67.8482,0.0000
10761,b'4.1-ngram.next_system_utterance__list yes',4.1,67.8482,0.0000
11386,b'4.1-ngram.next_system_utterance__mean clear list',4.1,67.8482,0.0000
7244,b'4.1-ngram.next_system_utterance__did really',4.1,67.8482,0.0000
11385,b'4.1-ngram.next_system_utterance__mean clear',4.1,67.8482,0.0000
17456,b'4.1-ngram.next_system_utterance__party',4.1,67.8451,0.0000
45034,b'7-syntactic_feature__root_word__next_system_utterance__creat',7,66.8683,0.0000
778,b'4.1-ngram.current_user_utterance__clear list',4.1,66.7468,0.0000
33055,b'5-phrase_feature__noun_phrases__next_system_utterance__n12',5,66.2984,0.0000
40954,b'6-entity_feature__entity__next_system_utterance__every 6 hours_SET',6,65.1581,0.0000
6370,b'4.1-ngram.next_system_utterance__clear list',4.1,64.9391,0.0000
44492,b'7-syntactic_feature__root_word__current_user_utterance__discard',7,64.9271,0.0000
40494,b'6-entity_feature__entity__next_system_utterance__1st_ORDINAL',6,64.4575,0.0000
43526,b'7-syntactic_feature__obj_word__next_system_utterance__n3',7,64.4240,0.0000
8984,b'4.1-ngram.next_system_utterance__handle',4.1,64.3458,0.0000
33732,b'5-phrase_feature__noun_phrases__next_system_utterance__person',5,64.3151,0.0000
45217,b'7-syntactic_feature__root_word__next_system_utterance__handl',7,63.8190,0.0000
6369,b'4.1-ngram.next_system_utterance__clear',4.1,63.0246,0.0000
28841,b'5-phrase_feature__noun_phrases__next_system_utterance__<name>',5,62.9198,0.0000
18809,b'4.1-ngram.next_system_utterance__reminder ntry',4.1,62.8033,0.0000
32671,b'5-phrase_feature__noun_phrases__next_system_utterance__matching_reminder',5,62.6983,0.0000
43501,b'7-syntactic_feature__obj_word__next_system_utterance__n',7,61.9416,0.0000
8302,b'4.1-ngram.next_system_utterance__friday nyou',4.1,61.6700,0.0000
8303,b'4.1-ngram.next_system_utterance__friday nyou discard',4.1,61.6700,0.0000
2161,b'4.1-ngram.current_user_utterance__reminder',4.1,61.4610,0.0000
44765,b'7-syntactic_feature__root_word__next_system_utterance__abl',7,61.2881,0.0000
40547,b'6-entity_feature__entity__next_system_utterance__4pm on_TIME',6,61.0316,0.0000
43543,b'7-syntactic_feature__obj_word__next_system_utterance__n5',7,59.7503,0.0000
3514,b'4.1-ngram.next_system_utterance__add items',4.1,59.7357,0.0000
45819,b'7-syntactic_feature__root_word__next_system_utterance__think',7,58.4329,0.0000
24330,b'4.1-ngram.next_user_utterance__today',4.1,58.2791,0.0000
45985,b'7-syntactic_feature__root_word__next_user_utterance__add',7,57.8600,0.0000
29632,b'5-phrase_feature__noun_phrases__next_system_utterance__bread',5,57.3742,0.0000
7424,b'4.1-ngram.next_system_utterance__don task',4.1,57.2768,0.0000
7425,b'4.1-ngram.next_system_utterance__don task discard',4.1,57.2768,0.0000
20872,b'4.1-ngram.next_system_utterance__task discard',4.1,57.2768,0.0000
31782,b'5-phrase_feature__noun_phrases__next_system_utterance__hours',5,56.8834,0.0000
33056,b'5-phrase_feature__noun_phrases__next_system_utterance__n13',5,56.4024,0.0000
46222,b'7-syntactic_feature__root_word__next_user_utterance__tomorrow',7,56.3955,0.0000
45492,b'7-syntactic_feature__root_word__next_system_utterance__ok',7,56.2694,0.0000
33126,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_ntype',5,56.1006,0.0000
29486,b'5-phrase_feature__noun_phrases__next_system_utterance__birthday_party',5,55.3678,0.0000
21802,b'4.1-ngram.next_system_utterance__understand',4.1,55.2939,0.0000
33047,b"5-phrase_feature__noun_phrases__next_system_utterance__n'title",5,55.0302,0.0000
46678,b"7-syntactic_feature__subj_word__next_system_utterance__n'titl",7,55.0302,0.0000
28906,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'title",5,55.0302,0.0000
33037,b"5-phrase_feature__noun_phrases__next_system_utterance__n'show",5,54.4645,0.0000
33029,b"5-phrase_feature__noun_phrases__next_system_utterance__n'remove",5,54.4645,0.0000
28898,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'remove",5,54.4645,0.0000
39364,b'5-phrase_feature__noun_phrases__next_user_utterance__y',5,54.1825,0.0000
46249,b'7-syntactic_feature__root_word__next_user_utterance__y',7,54.1825,0.0000
28940,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_n_\\',5,54.0862,0.0000
40583,b'6-entity_feature__entity__next_system_utterance__7pm_TIME',6,53.9694,0.0000
33107,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\',5,53.7989,0.0000
32767,b'5-phrase_feature__noun_phrases__next_system_utterance__members',5,53.4504,0.0000
43549,b'7-syntactic_feature__obj_word__next_system_utterance__n9',7,53.2927,0.0000
21237,b'4.1-ngram.next_system_utterance__tomorrow 30',4.1,52.6603,0.0000
19116,b'4.1-ngram.next_system_utterance__rephrase',4.1,52.4997,0.0000
45636,b'7-syntactic_feature__root_word__next_system_utterance__remind',7,52.4635,0.0000
34148,b'5-phrase_feature__noun_phrases__next_system_utterance__reminders',5,52.2013,0.0000
6681,b'4.1-ngram.next_system_utterance__couldn',4.1,50.9553,0.0000
30021,b'5-phrase_feature__noun_phrases__next_system_utterance__cheese',5,50.3793,0.0000
21083,b'4.1-ngram.next_system_utterance__time set',4.1,50.2532,0.0000
22773,b'2.2-#user_action_words.next_user_utterance__utterance_length',2.2,50.0471,0.0000
44507,b'7-syntactic_feature__root_word__current_user_utterance__edit',7,49.9596,0.0000
45425,b"7-syntactic_feature__root_word__next_system_utterance__n'friday",7,49.5917,0.0000
33008,b"5-phrase_feature__noun_phrases__next_system_utterance__n'friday",5,49.5917,0.0000
31558,b'5-phrase_feature__noun_phrases__next_system_utterance__halloween',5,49.5917,0.0000
28891,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'friday",5,49.5917,0.0000
43546,b'7-syntactic_feature__obj_word__next_system_utterance__n6',7,49.4254,0.0000
40956,b'6-entity_feature__entity__next_system_utterance__every month_SET',6,49.4222,0.0000
32894,b'5-phrase_feature__noun_phrases__next_system_utterance__month',5,49.4222,0.0000
35756,b'5-phrase_feature__noun_phrases__next_system_utterance__typing',5,48.4614,0.0000
7423,b'4.1-ngram.next_system_utterance__don',4.1,48.4406,0.0000
28920,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_n2',5,47.5253,0.0000
32627,b'5-phrase_feature__noun_phrases__next_system_utterance__mar',5,46.7949,0.0000
18666,b'4.1-ngram.next_system_utterance__remind nfor',4.1,46.0483,0.0000
18667,b'4.1-ngram.next_system_utterance__remind nfor example',4.1,46.0483,0.0000
21085,b'4.1-ngram.next_system_utterance__time set reminder',4.1,45.7396,0.0000
16835,b'4.1-ngram.next_system_utterance__ntry',4.1,45.6457,0.0000
33209,b'5-phrase_feature__noun_phrases__next_system_utterance__nif',5,44.9805,0.0000
43537,b'7-syntactic_feature__obj_word__next_system_utterance__n4',7,44.3946,0.0000
32,b'3-time_feature__time_ratio',3,44.2502,0.0000
22754,b'2.1-user_action_words.next_user_utterance__item',2.1,43.2109,0.0000
44893,b'7-syntactic_feature__root_word__next_system_utterance__bread',7,42.8398,0.0000
32813,b'5-phrase_feature__noun_phrases__next_system_utterance__milk',5,42.8263,0.0000
44742,b"7-syntactic_feature__root_word__next_system_utterance__'ve",7,42.8237,0.0000
31045,b'5-phrase_feature__noun_phrases__next_system_utterance__few_reminders',5,42.8237,0.0000
33048,b"5-phrase_feature__noun_phrases__next_system_utterance__n'tomorrow",5,42.8237,0.0000
28907,b"5-phrase_feature__noun_phrases__next_system_utterance__\\_n'tomorrow",5,42.8237,0.0000
43504,b"7-syntactic_feature__obj_word__next_system_utterance__n'tomorrow",7,42.8237,0.0000
40646,b'6-entity_feature__entity__next_system_utterance__an hour_DURATION',6,42.6466,0.0000
44940,b'7-syntactic_feature__root_word__next_system_utterance__captain',7,42.6466,0.0000
34900,b'5-phrase_feature__noun_phrases__next_system_utterance__shared_shopping_list',5,42.6466,0.0000
33494,b'5-phrase_feature__noun_phrases__next_system_utterance__original_reminder_time',5,42.6466,0.0000
44429,b'7-syntactic_feature__root_word__current_user_utterance__alert',7,42.6466,0.0000
45733,b'7-syntactic_feature__root_word__next_system_utterance__snooz',7,42.6466,0.0000
34899,b'5-phrase_feature__noun_phrases__next_system_utterance__shared_shopping',5,42.6466,0.0000
34146,b'5-phrase_feature__noun_phrases__next_system_utterance__reminder_time',5,42.6466,0.0000
33493,b'5-phrase_feature__noun_phrases__next_system_utterance__original_reminder',5,42.6466,0.0000
35529,b'5-phrase_feature__noun_phrases__next_system_utterance__text_messages',5,42.6466,0.0000
32779,b'5-phrase_feature__noun_phrases__next_system_utterance__messages',5,42.6466,0.0000
7817,b'4.1-ngram.next_system_utterance__example friday nyou',4.1,42.4897,0.0000
45988,b'7-syntactic_feature__root_word__next_user_utterance__am',7,42.3795,0.0000
33057,b'5-phrase_feature__noun_phrases__next_system_utterance__n14',5,42.3540,0.0000
33121,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nif',5,42.1156,0.0000
28950,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nif',5,42.1156,0.0000
43547,b'7-syntactic_feature__obj_word__next_system_utterance__n7',7,42.1068,0.0000
38703,b'5-phrase_feature__noun_phrases__next_user_utterance__reminder',5,42.0250,0.0000
7265,b'4.1-ngram.next_system_utterance__didn nto add',4.1,41.7252,0.0000
7264,b'4.1-ngram.next_system_utterance__didn nto',4.1,41.7252,0.0000
44973,b'7-syntactic_feature__root_word__next_system_utterance__chees',7,41.6177,0.0000
21239,b'4.1-ngram.next_system_utterance__tomorrow 30 nyou',4.1,41.5364,0.0000
3318,b'4.1-ngram.next_system_utterance__30 nyou discard',4.1,41.5364,0.0000
46685,b'7-syntactic_feature__subj_word__next_system_utterance__nbut',7,41.4265,0.0000
946,b'4.1-ngram.current_user_utterance__discard',4.1,41.2104,0.0000
29104,b'5-phrase_feature__noun_phrases__next_system_utterance__am',5,40.9256,0.0000
41385,b'6-entity_feature__entity__next_system_utterance__past_DATE',6,40.8834,0.0000
45463,b'7-syntactic_feature__root_word__next_system_utterance__need',7,40.7396,0.0000
6686,b'4.1-ngram.next_system_utterance__couldn understand',4.1,40.7132,0.0000
6687,b'4.1-ngram.next_system_utterance__couldn understand rephrase',4.1,40.7132,0.0000
20287,b'4.1-ngram.next_system_utterance__sorry couldn understand',4.1,40.7132,0.0000
20286,b'4.1-ngram.next_system_utterance__sorry couldn',4.1,40.7132,0.0000
21803,b'4.1-ngram.next_system_utterance__understand rephrase',4.1,40.7132,0.0000
27180,b'5-phrase_feature__noun_phrases__current_user_utterance__minutes',5,40.4997,0.0000
3317,b'4.1-ngram.next_system_utterance__30 nyou',4.1,40.4809,0.0000
42794,b'7-syntactic_feature__obj_word__current_user_utterance__list',7,40.4378,0.0000
31011,b'5-phrase_feature__noun_phrases__next_system_utterance__family_members',5,40.1300,0.0000
29765,b'5-phrase_feature__noun_phrases__next_system_utterance__butter',5,40.1215,0.0000
16815,b'4.1-ngram.next_system_utterance__nto add items',4.1,40.1059,0.0000
19824,b'4.1-ngram.next_system_utterance__set reminder',4.1,40.0799,0.0000
43716,b'7-syntactic_feature__obj_word__next_system_utterance__time',7,40.0635,0.0000
